Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
Checkpoint - Rotational Statics,2024-03-26,,,,TRUE,
Prelecture - Rotational Statics,2024-03-26,,,,TRUE,
Homework - Rotational Dynamics,2024-03-26,,,,TRUE,
Prelab - 8: Rotations I,2024-03-27,,,,TRUE,
Checkpoint - Rotational Statics: Part II,2024-03-28,,,,TRUE,
Prelecture - Rotational Statics: Part II,2024-03-28,,,,TRUE,
Homework - Parallel Axis Theorem and Torque,2024-03-28,,,,TRUE,
Homework - Rotational Kinematics and Moment of Inertia,2024-03-28,,,,TRUE,
Checkpoint - Angular Momentum,2024-04-02,,,,TRUE,
Prelecture - Angular Momentum,2024-04-02,,,,TRUE,
Homework - Rotational Statics: Part II,2024-04-02,,,,TRUE,
Homework - Rotational Statics,2024-04-02,,,,TRUE,
Prelab - 9: Rotations II,2024-04-03,,,,TRUE,
Checkpoint - Angular Momentum Vector and Precession,2024-04-04,,,,TRUE,
Prelecture - Angular Momentum Vector and Precession,2024-04-04,,,,TRUE,
